,,,,,,,,,,,,Pitch,Rhythm,Stress,Emphasis,Tempo,Volume,Censorship,Spelling,Alternant,Differentiator,Alphahaptics,Alphakinesics,Formatting,Tactile_Emoticon,Bodily_Emoticon,Nonbodily_Emoticon,Tactile_Emoji,Bodily_Emoji,Nonbodily_Emoji,Emoji_Count,Emoji_Index,Emoticon_Index,TPL_Index
51,2019-11-26 16:00:00,"This holiday season, stuff your mailbox 📦📭\n\nGet a FREE 1-year subscription to @ShopRunner from #TMobileTuesdays and enjoy free 2-day shipping and returns with 100+ online retailers 💯🎉\n\n📲: https://t.co/2JDQj6m3CV https://t.co/X7AN7zJi9s",109,2,27,16,T-Mobile,1488892,12594,0.7000000000000001,0.4000000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5,5.0,5.0,0,6.0
52,2019-11-25 22:35:02,Free in-flight WiFi &gt; Free in-flight pretzels\n\n#TMobileWingman,212,1,24,23,T-Mobile,1488892,12594,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
53,2019-11-25 18:48:38,"The First / Largest / Only Nationwide 5G... Yep, we couldn’t make up our mind. Coming 12/6/19 https://t.co/FYdvTaakxv",403,7,60,104,T-Mobile,1488892,12594,0.6666666666666666,0.125,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2.0
54,2019-11-25 11:44:57,"Love music now? You’ll love it even more on 5G ⚡️ \n\nHere’s a taste from @JonasBrothers of what you could see at a future #AMAs – all in real-time. Get ready for the ONLY nationwide 5G network, coming 12/6! #AMAsWithUs https://t.co/8FhbJq52dJ",337,2,4,25,T-Mobile,1488892,12594,0.5541666666666667,0.2833333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0
55,2019-11-25 11:36:53,"U Pick:\n1. The ONLY nationwide 5G network, coming 12/6 \n2. @JonasBrothers performing LIVE from the #AMAs\n\nJust kidding, we're giving you both! #AMAsWithUs https://t.co/4Nbvzl13NJ",390,6,14,11,T-Mobile,1488892,12594,0.75,0.08522727272727272,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2.0
56,2019-11-25 06:13:24,"When we bring the @JonasBrothers LIVE from Boston to the #AMAs...it's time to dance, dance, dance, dance! 🕺💃 #AMAsWithUs https://t.co/DodbUVh0SU",1628,16,8,218,T-Mobile,1488892,12594,0.5,0.17045454545454544,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,2.0,2.0,0,4.0
57,2019-11-25 03:40:11,From across the nation ➡️ to the #AMAs red carpet! 🎶 We're seeing stars with @PostMalone and @AlysonStoner 🤩 #AMAsWithUs https://t.co/aqEwsmnMsg,6990,70,28,326,T-Mobile,1488892,12594,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,1,1,2.0,2.0,0,4.0
58,2019-11-25 00:26:53,Staying 🆒 with the @JonasBrothers before they're burnin' up 🔥 the stage in Boston. We're bringing them coast to coast to the #AMAs for a special LIVE performance! 🎶 #AMAsWithUs https://t.co/63xOUQETds,1086,16,5,110,T-Mobile,1488892,12594,0.5357142857142857,0.2637987012987013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,3.0,3.0,0,4.0
59,2019-11-25 00:06:54,Connecting @JonasBrothers fans from all over the nation ✅\n\nWatch the band answer YOUR questions in a special AMA at the #AMAs and find out how you could win the chance to meet them! 🎤 #AMAsWithUs https://t.co/hbV2ChV0xK,1010,6,10,162,T-Mobile,1488892,12594,0.4857142857142857,0.6785714285714286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,2.0,2.0,0,3.0
60,2019-11-20 21:26:07,Don't expect your foodie friends to stop sending you food pics because with Simple Global we cover them in 210+ countries.\n\nSorry. https://t.co/BbRovyoOZw,104,2,15,11,T-Mobile,1488892,12594,0.17857142857142858,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
